team,1930,1934,1938,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018,2022,code,country,confederation,url
Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,KUW,Kuwait,AFC,https://countryflagsapi.com/png/kuwait
Mexico,13.0,13.0,13.0,19.0,27.0,35.0,38.0,41.0,47.0,47.0,55.0,55.0,61.0,61.0,66.0,73.0,76.0,83.0,87.0,91.0,94.0,97.0,MEX,Mexico,CONCACF,https://countryflagsapi.com/png/mexico
Morocco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,8.0,13.0,13.0,13.0,13.0,13.0,16.0,22.0,MAR,Morocco,CAF,https://countryflagsapi.com/png/morocco
Netherlands,0.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,14.0,23.0,23.0,23.0,27.0,35.0,48.0,48.0,51.0,61.0,68.0,68.0,74.0,NED,Netherlands,UEFA,https://countryflagsapi.com/png/netherlands
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0,NZL,New Zealand,OFC,https://countryflagsapi.com/png/new%20zealand
Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,14.0,14.0,19.0,24.0,29.0,29.0,NGR,Nigeria,CAF,https://countryflagsapi.com/png/nigeria
North Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,13.0,13.0,13.0,13.0,,,,
Northern Ireland,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,NIR,Northern Ireland,UEFA,https://countryflagsapi.com/png/northern%20ireland
Norway,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,NOR,Norway,UEFA,https://countryflagsapi.com/png/norway
Panama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,PAN,Panama,CONCACF,https://countryflagsapi.com/png/panama
Paraguay,0.0,0.0,0.0,4.0,4.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,24.0,24.0,24.0,26.0,33.0,37.0,38.0,38.0,38.0,38.0,PAR,Paraguay,CONMEBOL,https://countryflagsapi.com/png/paraguay
Peru,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,11.0,24.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0,31.0,PER,Peru,CONMEBOL,https://countryflagsapi.com/png/peru
